Comparison,Metric,Real Value,Null Mean,Z-Score,P-Value
Real vs ER,Gini,0.6172234956891671,0.6172234956891671,0.0,2.0
Real vs ER,Morans_I,0.03574769730121155,-0.003465429231734614,5.592756188803832,0.01
Real vs ER,Centr_Corr,0.7172619047619048,0.15255746475746476,11.801842464461291,0.01
Real vs DCM,Gini,0.6172234956891671,0.6171450941823289,0.04670199409519759,1.0
Real vs DCM,Morans_I,0.03574769730121155,-0.002109726714745537,4.679375346405347,0.01
Real vs DCM,Centr_Corr,0.7172619047619048,0.8786172899735414,-14.594134614370025,0.01
Real vs DPES,Gini,0.6172234956891671,0.6172234956891671,0.0,2.0
Real vs DPES,Morans_I,0.03574769730121155,-0.004545886856612469,6.729458990994242,0.01
Real vs DPES,Centr_Corr,0.7172619047619048,0.7410821353965713,-0.6858830332687482,0.48
